user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
Mama2GreatKids,Aimee Esparaz,7.94189E+17,2016-11-03 14:47,/Mama2GreatKids/status/794189251675987969,0,0,0,#1000gifts ~ On air on #RogersTV... with none other than his @CompassionCA t-shirt! So proud of… https://www.instagram.com/p/BMWhUb8hC9G/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/1000gifts?src=hash""><s>#</s><b>1000gifts</b></a> ~ On air on <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RogersTV?src=hash""><s>#</s><b>RogersTV</b></a>... with none other than his <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> t-shirt! So proud of… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BMWhUb8hC9G/"" dir=""ltr"" href=""https://t.co/s9a3w9IvMX"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BMWhUb8hC9G/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BMWhUb8hC9G/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
AaronStrongarm,Aaron Armstrong,7.9397E+17,2016-11-03 0:16,/AaronStrongarm/status/793970003376799744,0,0,0,shame I couldn't make it out tonight to say hi. Grateful to have worked with you during my time at @CompassionCA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">shame I couldn't make it out tonight to say hi. Grateful to have worked with you during my time at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a></p>"
,,,,,,,,,
CompassionCA,Compassion Canada,8.33449E+17,2017-02-19 22:51,/CompassionCA/status/833448849016487937,4,0,2,He has made everything beautiful in its time. He has set eternity in the heart; yet no one can fathom what God has done Ec 3:11pic.twitter.com/3luznIK98A,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">He has made everything beautiful in its time. He has set eternity in the heart; yet no one can fathom what God has done Ec 3:11<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3luznIK98A"">pic.twitter.com/3luznIK98A</a></p>"
,,,,,,,,,
compassion,Compassion Intl,7.98989E+17,2016-11-16 20:40,/compassion/status/798989021267406848,14,1,5,This family inspires us! Thanks to @CompassionCA for sharing this great story! #WednesdayMotivation #MakeItMore https://www.compassion.ca/kids-with-compassion/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This family inspires us! Thanks to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> for sharing this great story! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WednesdayMotivation?src=hash""><s>#</s><b>WednesdayMotivation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MakeItMore?src=hash""><s>#</s><b>MakeItMore</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.compassion.ca/kids-with-compassion/"" dir=""ltr"" href=""https://t.co/Mo2buRe0ZJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.compassion.ca/kids-with-compassion/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">compassion.ca/kids-with-comp</span><span class=""invisible"">assion/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
,,,,,,,,,
KaellaCarrTV,Kaella Carr,7.98719E+17,2016-11-16 2:45,/KaellaCarrTV/status/798718515960225792,3,0,4,I will never forget meeting Kaitlin and sharing her story. She inspired so many people and I hope we can keep it going. @CompassionCA #yqlhttps://twitter.com/ctvlethbridge/status/798705144510746624 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I will never forget meeting Kaitlin and sharing her story. She inspired so many people and I hope we can keep it going. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yql?src=hash""><s>#</s><b>yql</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ctvlethbridge/status/798705144510746624"" dir=""ltr"" href=""https://t.co/ChfRj6n2yl"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ctvlethbridge/status/798705144510746624""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ctvlethbridge/</span><span class=""invisible"">status/798705144510746624</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
,,,,,,,,,
