user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
JimDurocher,jim durocher,7.98305E+17,2016-11-14 23:21,/JimDurocher/status/798304768032641024,0,0,0,Our school is fundraising for @PlanCanada’s #SpreadtheNet Student Challenge to end #malaria. Sponsor us today!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our school is fundraising for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a>’s <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SpreadtheNet?src=hash""><s>#</s><b>SpreadtheNet</b></a> Student Challenge to end <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/malaria?src=hash""><s>#</s><b>malaria</b></a>. Sponsor us today!</p>"
,,,,,,,,,
CCCICCIC,CCCI | CCIC,7.98247E+17,2016-11-14 19:30,/CCCICCIC/status/798246625785188352,0,0,0,CCIC completed the #CSOCheck! Have you? https://goo.gl/DMXKNP  @PlanCanada @ResultsCda @SaveChildrenCan @worldvisioncan @WorldUniServicepic.twitter.com/cJ5K35uVst,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CCIC completed the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CSOCheck?src=hash""><s>#</s><b>CSOCheck</b></a>! Have you? <a class=""twitter-timeline-link"" data-expanded-url=""https://goo.gl/DMXKNP"" dir=""ltr"" href=""https://t.co/AK47NyPxs3"" rel=""nofollow noopener"" target=""_blank"" title=""https://goo.gl/DMXKNP""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">goo.gl/DMXKNP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""55073144"" dir=""ltr"" href=""/ResultsCda""><s>@</s><b>ResultsCda</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""42704025"" dir=""ltr"" href=""/SaveChildrenCan""><s>@</s><b>SaveChildrenCan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""94176238"" dir=""ltr"" href=""/worldvisioncan""><s>@</s><b>worldvisioncan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19185980"" dir=""ltr"" href=""/WorldUniService""><s>@</s><b>WorldUniService</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cJ5K35uVst"">pic.twitter.com/cJ5K35uVst</a></p>"
,,,,,,,,,
Femmes_Canada,Femmes au Canada,7.98203E+17,2016-11-14 16:38,/Femmes_Canada/status/798203409140686850,2,0,0,@PlanCanada est présent aujourd’hui pour continuer d’encourager les jeunes à participer à l’avancement de l’#égalitédessexes! #PrixGGpic.twitter.com/a3BWDDTLQG,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> est présent aujourd’hui pour continuer d’encourager les jeunes à participer à l’avancement de l’<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%C3%A9galit%C3%A9dessexes?src=hash""><s>#</s><b>égalitédessexes</b></a>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PrixGG?src=hash""><s>#</s><b>PrixGG</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/a3BWDDTLQG"">pic.twitter.com/a3BWDDTLQG</a></p>"
,,,,,,,,,
Women_Canada,Women in Canada,7.98203E+17,2016-11-14 16:37,/Women_Canada/status/798203256451321858,4,0,1,"@PlanCanada is at today’s event, continuing to push for #GenderEquality and motivating youth to join the movement! #GGAwardspic.twitter.com/k9NQFItCkD","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> is at today’s event, continuing to push for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GenderEquality?src=hash""><s>#</s><b>GenderEquality</b></a> and motivating youth to join the movement! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GGAwards?src=hash""><s>#</s><b>GGAwards</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/k9NQFItCkD"">pic.twitter.com/k9NQFItCkD</a></p>"
,,,,,,,,,
PlanCanada,Plan Int'l Canada,7.97961E+17,2016-11-14 0:35,/PlanCanada/status/797961019477762049,5,0,2,#Giveback this holiday season w/ our top 15 life-changing #GiftsofHope–real gifts that change real lives worldwide! http://bit.ly/2fpglO6 pic.twitter.com/KKwtVKSbPL,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Giveback?src=hash""><s>#</s><b>Giveback</b></a> this holiday season w/ our top 15 life-changing <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GiftsofHope?src=hash""><s>#</s><b>GiftsofHope</b></a>–real gifts that change real lives worldwide! <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2fpglO6"" dir=""ltr"" href=""https://t.co/a7YrbkBltM"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2fpglO6""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2fpglO6</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KKwtVKSbPL"">pic.twitter.com/KKwtVKSbPL</a></p>"
,,,,,,,,,
